d1,c1,d2,c2,d3,c3,class
32,0.45,42,0.267,31,0.0043,7
32,0.453,42,0.276,31,0.0042,7
32,0.453,42,0.276,31,0.0042,7
32,0.453,42,0.28,31,0.0042,7
32,0.453,42,0.28,31,0.0042,7
3,0.0157,4,0.037,5,0.012,5
3,0.0157,4,0.037,5,0.012,5
3,0.016,11,0.037,5,0.012,5
3,0.016,11,0.037,5,0.012,5
19,0.7,23,0.075,31,0.2,12
19,0.75,23,0.07,31,0.18,12
19,0.64,23,0.078,31,0.218,12
19,0.644,23,0.079,31,0.22,12
19,0.653,23,0.076,31,0.222,12
19,0.663,23,0.074,31,0.22,12
19,0.65,23,0.0823,31,0.22,12
19,0.66,23,0.0818,31,0.223,12
19,0.631,23,0.0825,31,0.2086,12
19,0.62,23,0.09,31,0.223,12
19,0.615,23,0.085,31,0.214,12
19,0.645,23,0.086,31,0.218,12
19,0.65,23,0.085,31,0.22,12
19,0.682,23,0.085,13,0.232,12
19,0.677,23,0.0855,31,0.216,12
19,0.632,23,0.085,31,0.21,12
19,0.62,23,0.084,31,0.21,12
19,0.638,23,0.0795,31,0.215,12
19,0.635,23,0.08,31,0.21,12
19,0.64,23,0.079,31,0.21,12
19,0.645,23,0.079,31,0.21,12
3,0.02,4,0.0215,5,0.021,5
3,0.021,4,0.021,5,0.021,5
3,0.0185,4,0.0215,5,0.0216,5
3,0.018,4,0.022,5,0.021,5
3,0.0175,4,0.022,5,0.02,5
3,0.017,4,0.0218,5,0.02,5
3,0.0178,4,0.022,5,0.0208,5
7,0.27,52,0.304,31,0.008,13
7,0.256,52,0.289,71,0,13
7,0.27,52,0.3,71,0,13
7,0.262,52,0.291,71,0,13
7,0.265,52,0.298,71,0,13
7,0.19,27,0.206,64,1.59,1
7,0.19,27,0.205,64,1.575,1
7,0.19,27,0.206,64,1.606,1
3,0.029,4,0.064,5,0.0091,5
3,0.029,4,0.061,5,0.008,5
3,0.028,4,0.06,5,0.008,5
50,0.112,47,0.95,31,0.016,13
50,0.109,47,0.942,31,0.0155,13
50,0.107,47,0.953,31,0.0165,13
48,0.4,71,0,71,0,13
14,0.029,20,0.028,71,0,5
14,0.029,20,0.028,71,0,5
32,0.578,29,1.47,58,1.286,2
32,0.573,29,1.45,58,1.273,2
16,0.037,23,0.3,58,3,1
16,0.0375,23,0.28,58,3,1
16,0.038,23,0.25,58,3,1
16,0.0385,23,0.26,58,3.03,1
16,0.129,28,0.153,31,0.0152,7
42,1.346,50,2.1,52,0.03,13
32,0.456,29,1.786,58,0.907,2
32,0.4535,29,1.79,58,0.82,2
69,1.9,66,0.22,71,0,16
69,1.85,66,0.215,71,0,16
69,1.862,67,0,71,0,16
16,0.02,23,0.235,58,3,1
16,0.098,27,0.126,31,0.0077,7
16,0.0995,28,0.128,31,0.0086,7
42,1.057,50,1.515,71,0,13
42,1.068,50,1.53,71,0,13
16,0.051,17,0.268,31,0.0166,7
16,0.0507,17,0.268,31,0.0163,7
32,0.583,29,2.3,58,1.04,2
16,0.0006,29,0.026,71,0,5
16,0.0007,29,0.0266,71,0,5
16,0.0007,29,0.0266,71,0,5
4,0.0077,5,0.0176,71,0,5
4,0.0075,5,0.0172,71,0,5
4,0.0075,5,0.0172,71,0,5
16,0.0158,23,0.312,58,3,1
16,0.0155,23,0.328,58,3,1
16,0.0145,23,0.32,58,3,1
4,0.0295,5,0.0025,71,0,5
25,0.717,26,1.315,47,0.334,13
25,0.675,26,1.33,47,0.34,13
25,0.46,26,0.5,47,0.25,13
48,0.3,71,0,71,0,14
16,0.008,21,0.039,58,1.906,11
16,0.008,21,0.039,58,1.906,11
16,0.0078,21,0.0395,58,1.935,11
16,0.0078,21,0.0395,58,1.935,11
16,0.0078,21,0.0384,58,1.94,11
16,0.0078,21,0.0384,58,1.94,11
42,0.977,50,2.8,52,0.223,13
42,0.977,50,2.8,52,0.223,13
42,0.98,50,2.8,52,0.223,13
42,0.98,50,2.8,52,0.223,13
42,0.99,50,2.76,52,0.225,13
42,0.99,50,2.76,52,0.225,13
31,0.0145,25,0.46,47,0.865,13
31,0.015,25,0.435,47,0.88,13
31,0.009,25,0.29,47,0.727,13
48,0.4,71,0,71,0,13
3,0.177,4,0.1145,5,0.109,14
3,0.12,4,0.079,5,0.0655,14
33,0.0066,55,0.0046,71,0,5
33,0.0066,55,0.0046,71,0,5
33,0.0065,55,0.0046,71,0,5
33,0.0065,55,0.0046,71,0,5
33,0.0065,55,0.0046,71,0,5
33,0.0065,55,0.0046,71,0,5
3,0.0175,4,0.022,5,0.021,5
3,0.0633,4,0.06,5,0.079,14
3,0.0633,4,0.06,5,0.079,14
7,0.387,27,0.052,35,0.668,15
7,0.387,27,0.055,35,0.668,15
7,0.395,27,0.055,37,0.69,15
3,0.117,4,0.078,5,0.645,14
31,0.026,7,1.185,50,1.98,6
4,0.0198,5,0.0021,71,0,5
4,0.02,5,0.002,71,0,5
4,0.021,5,0.0022,71,0,5
16,0.435,17,0.25,31,0.0155,7
3,0.077,4,0.0005,5,0.0021,5
3,0.077,4,0.0006,5,0.0021,5
7,0.495,27,0.065,35,0.882,15
3,0.127,4,0.087,5,0.072,14
3,0.0138,4,0.024,5,0.0645,14
3,0.0126,4,0.0225,5,0.0625,14
3,0.013,4,0.023,5,0.0625,14
4,0.02,5,0.004,71,0,5
4,0.021,5,0.0043,71,0,5
4,0.02,5,0.0035,71,0,5
4,0.023,5,0.0046,71,0,5
16,0.176,29,0.0008,71,0,7
16,0.18,29,0.001,71,0,7
16,0.039,17,0.339,31,0.02,7
16,0.0384,17,0.335,31,0.0195,7
16,0.0435,17,0.3,31,0.019,7
14,0.0062,16,0.006,29,0.00168,5
14,0.0062,16,0.006,29,0.00168,5
14,0.0065,16,0.005,29,0.0166,5
14,0.0065,16,0.005,29,0.0166,5
17,0.053,23,0.132,31,0.061,14
17,0.053,23,0.132,31,0.061,14
32,1.864,42,0.142,31,0.0156,7
32,1.864,42,0.142,31,0.0156,7
32,1.864,42,0.136,31,0.0156,7
32,1.864,42,0.136,31,0.0156,7
32,1.864,42,0.137,31,0.0156,7
32,1.864,42,0.137,31,0.0156,7
17,0.219,24,0,31,0.266,12
17,0.219,24,0,31,0.266,12
17,0.219,21,0.147,31,0.266,12
17,0.219,21,0.147,31,0.266,12
7,1.5,48,2.7,31,0.09,10
7,1.5,48,2.7,31,0.09,10
7,1.485,48,2.7,31,0.088,10
7,1.485,48,2.7,31,0.088,10
7,1.5,48,2.69,31,0.096,10
7,1.5,48,2.69,31,0.096,10
7,1.16,48,1.97,31,0.09,10
7,1.16,48,1.97,31,0.09,10
33,0.039,66,0.11,71,0,14
33,0.039,66,0.11,71,0,14
33,0.04,66,0.11,71,0,14
33,0.04,66,0.11,71,0,14
33,0.041,66,0.11,71,0,14
33,0.041,66,0.11,71,0,14
7,0.475,48,0.551,64,2.493,4
7,0.38,48,0.44,64,1.79,4
7,0.94,48,3.147,35,0.55,9
7,0.94,48,3.147,35,0.55,9
7,0.933,48,3.145,35,0.55,9
7,0.933,48,3.145,35,0.55,9
7,0.93,48,3.15,35,0.55,9
7,0.93,48,3.15,35,0.55,9
7,0.67,23,0.136,31,0.48,15
7,0.65,23,0.14,31,0.475,15
32,0.73,60,0.29,71,0,12
32,1.16,60,0.37,71,0,12
32,0.58,60,0.2,71,0,12
32,0.5,60,0.18,71,0,12
32,0.275,29,0.031,71,0,7
32,0.275,29,0.025,71,0,7
32,0.255,29,0.036,71,0,7
32,0.25,29,0.038,71,0,7
32,0.253,42,0.0145,29,0.0378,7
17,0.141,23,0.0052,31,0.066,12
17,0.145,23,0.0053,31,0.067,12
17,0.14,23,0.0054,31,0.065,12
17,0.141,23,0.0051,31,0.066,12
42,2.1,54,0.85,27,0.52,13
42,2.3,54,0.9,27,0.55,13
42,2.3,54,0.9,27,0.1,13
42,2.4,54,0.85,27,0.095,13
42,2.48,54,0.92,27,0.085,13
42,2.6,54,0.92,27,0.15,13
42,2.7,54,0.88,27,0.2,13
42,2.65,54,0.88,27,0.09,13
42,2.72,54,0.8,27,0.095,13
42,2.88,54,0.86,27,0.16,13
3,0.093,4,0.143,5,0.021,14
3,0.095,4,0.15,5,0.02,14
16,0.0315,23,0.081,31,0.0096,14
3,0.116,4,0.155,5,0.0245,14
16,0.032,23,0.09,31,0.01,14
3,0.108,4,0.155,5,0.022,14
3,0.11,4,0.152,5,0.021,14
3,0.112,4,0.147,5,0.026,14
3,0.115,4,0.146,5,0.024,14
3,0.1135,4,0.147,5,0.024,14
3,0.113,4,0.148,5,0.025,14
16,0.035,23,0.085,31,0.01,14
16,0.0347,23,0.086,31,0.01,14
16,0.035,23,0.085,31,0.01,14
16,0.0355,23,0.086,31,0.0103,14
16,0.035,23,0.08,31,0.01,14
16,0.0347,23,0.082,31,0.01,14
16,0.035,23,0.087,31,0.0115,14
16,0.035,23,0.0888,31,0.011,14
3,0.1,4,0.154,5,0.023,14
3,0.097,4,0.158,5,0.023,14
3,0.113,4,0.15,5,0.024,14
3,0.1,4,0.1497,5,0.024,14
32,0.35,29,2.7,36,0.93,2
32,0.36,29,2.7,36,0.9,2
32,0.368,29,2.8,36,1.04,2
32,0.39,29,2.7,36,1.02,2
32,0.379,29,2.8,36,1.04,2
32,0.38,29,2.85,36,1.04,2
32,0.38,29,2.81,36,1.045,2
32,0.38,29,2.81,36,1.05,2
32,0.388,29,2.87,36,1.073,2
3,0.018,4,0.012,5,0.005,5
3,0.017,4,0.012,5,0.0047,5
3,0.016,4,0.011,5,0.0044,5
3,0.018,4,0.012,5,0.0049,5
3,0.0158,4,0.0093,5,0.0039,5
19,0.374,27,0.196,31,0.31,12
19,0.36,27,0.203,31,0.3,12
19,0.374,27,0.202,31,0.313,12
19,0.372,27,0.21,31,0.326,12
19,0.365,27,0.215,31,0.333,12
19,0.366,27,0.217,31,0.34,12
19,0.37,27,0.23,31,0.31,14
19,0.37,27,0.232,31,0.316,12
19,0.367,27,0.225,31,0.311,12
19,0.37,27,0.23,31,0.31,12
19,0.367,27,0.225,31,0.317,12
19,0.36,27,0.225,31,0.32,12
19,0.36,27,0.218,31,0.325,12
19,0.367,27,0.22,31,0.323,12
19,0.358,27,0.215,31,0.32,12
19,0.358,27,0.215,31,0.323,12
16,0.06,48,1.46,64,1.54,4
16,0.06,48,1.44,64,1.52,4
16,0.06,48,1.445,64,1.525,4
16,0.06,48,1.48,64,1.56,4
16,0.062,48,1.5,64,1.586,4
16,0.005,7,2.9,71,0,13
16,0.0035,8,2.89,71,0,13
16,0.0038,8,2.9,71,0,13
16,0.003,8,2.9,71,0,13
16,0.0032,8,2.89,71,0,13
16,0.003,8,2.9,71,0,13
16,0.0027,8,2.95,52,0.108,13
16,0.0032,8,2.9,52,0.115,13
16,0.0027,8,2.95,52,0.12,13
16,0.0032,8,2.9,71,0,13
16,0.0029,8,2.95,71,0,13
32,0.93,42,0.64,52,0.45,13
32,0.92,42,0.71,52,0.425,13
32,0.97,42,0.62,52,0.42,13
32,1,42,0.6,52,0.41,6
32,1,42,0.615,52,0.41,13
32,0.98,42,0.625,52,0.4,13
16,0.004,7,2.8,71,0,13
7,2.7,52,0.15,71,0,13
7,2.6,52,0.15,31,0.006,6
7,2.6,52,0.15,31,0.01,6
7,2.6,52,0.16,71,0,13
7,2.62,52,0.165,71,0,13
32,2.2,42,0.12,52,0.45,13
32,1.85,42,0.155,52,0.47,13
32,1.7,42,0.16,52,0.475,13
32,1.7,42,0.25,52,0.475,13
32,1.6,42,0.254,52,0.482,13
7,2.63,52,0.17,71,0,13
32,1.3,42,0.35,52,0.47,13
32,1.27,42,0.405,52,0.46,13
7,2.655,52,0.177,71,0,13
7,2.663,52,0.183,71,0,13
32,1.25,42,0.515,52,0.46,13
32,1.25,42,0.65,52,0.43,13
7,2.665,52,0.185,71,0,13
32,1.3,42,0.63,52,0.425,13
7,2.7,52,0.188,71,0,13
52,0.425,32,1.28,42,0.625,13
32,1.28,42,0.62,52,0.43,13
32,1.326,42,0.649,52,0.438,13
7,2.72,52,0.188,71,0,13
32,1.25,42,0.68,52,0.42,13
32,1.1,42,0.65,52,0.45,13
32,1.1,42,0.68,52,0.45,13
32,1.1,42,0.69,52,0.45,13
32,1.08,42,0.69,52,0.453,13
32,1.1,42,0.69,52,0.456,13
32,1.09,42,0.697,52,0.4575,13
32,1.096,42,0.7,52,0.4628,13
32,1.14,42,0.64,52,0.48,13
32,1.13,42,0.63,52,0.488,13
32,1.145,42,0.67,52,0.456,13
32,1.15,42,0.65,52,0.45,13
32,1.18,42,0.7,52,0.465,13
32,1.2,42,0.65,52,0.488,13
32,1.18,42,0.7,52,0.472,13
32,1.2,42,0.68,52,0.48,13
32,1.168,42,0.742,52,0.478,13
32,1.238,42,0.683,52,0.485,13
32,1.2,42,0.7,52,0.472,13
32,1.215,42,0.7,52,0.475,6
32,1.215,42,0.77,52,0.43,13
32,1.18,42,0.735,52,0.47,13
32,1.12,42,0.7,52,0.49,13
32,1.07,42,0.7,52,0.51,13
32,1.145,42,0.67,52,0.49,13
32,1.15,42,0.648,52,0.5,6
32,1.145,42,0.67,52,0.49,13
32,0.742,27,0.19,64,3,4
32,0.7415,27,0.19,64,3,4
32,0.743,27,0.19,64,3,4
7,1.84,48,1.186,35,0.448,9
7,1.785,48,1.153,35,0.434,9
7,1.803,48,1.163,35,0.439,9
7,1.8,48,1.163,35,0.486,9
7,1.854,48,1.195,35,0.5,9
7,1.854,48,1.195,35,0.5,9
7,1.872,48,1.206,35,0.505,9
7,1.82,48,1.25,35,0.507,9
7,1.85,48,1.29,35,0.47,9
7,1.845,48,1.3,35,0.465,9
7,1.87,48,1.24,35,0.47,9
7,1.848,48,1.225,35,0.463,9
7,1.875,48,1.245,35,0.465,9
7,1.88,48,1.24,35,0.465,9
7,1.875,48,1.239,35,0.462,9
7,1.894,48,1.214,35,0.467,9
7,1.856,48,1.277,35,0.467,9
7,1.87,48,1.265,35,0.466,9
7,1.945,48,1.205,35,0.485,9
7,1.875,48,1.246,35,0.467,9
7,1.945,48,1.205,35,0.49,9
7,1.945,48,1.205,35,0.49,9
7,1.875,48,1.205,35,0.49,9
7,1.875,48,1.205,35,0.49,9
7,1.93,48,1.236,35,0.5,9
7,1.93,48,1.236,35,0.5,9
7,1.945,48,1.205,35,0.5,9
7,1.945,48,1.205,35,0.5,9
7,1.93,48,1.236,35,0.535,9
7,1.93,48,1.236,35,0.535,9
7,1.95,48,1.205,35,0.55,9
7,1.95,48,1.205,35,0.55,9
7,1.91,48,1.236,35,0.529,9
7,1.91,48,1.23,35,0.54,9
7,1.93,48,1.215,35,0.565,9
7,1.93,48,1.3,35,0.54,9
7,1.91,48,1.27,35,0.53,9
7,1.89,48,1.24,35,0.52,9
7,1.9,48,1.245,35,0.52,9
7,1.848,48,1.225,35,0.463,9
16,0.29,27,0.3,31,0.31,12
16,0.345,27,0.366,31,0.245,12
7,0.395,27,0.207,31,0.289,12
16,0.31,27,0.384,31,0.221,12
7,0.392,27,0.22,31,0.26,12
16,0.32,27,0.373,31,0.218,12
16,0.33,27,0.373,31,0.218,12
16,0.33,27,0.378,31,0.217,12
16,0.323,27,0.376,31,0.219,12
16,0.32,27,0.378,31,0.217,12
16,0.323,27,0.368,31,0.219,12
16,0.32,27,0.36,31,0.22,12
16,0.323,27,0.37,31,0.219,12
16,0.325,27,0.372,31,0.22,12
16,0.325,27,0.372,31,0.22,12
16,0.31,27,0.372,31,0.2,12
16,0.31,27,0.372,31,0.2,12
16,0.325,27,0.372,31,0.21,12
16,0.325,27,0.372,31,0.21,12
16,0.325,27,0.36,31,0.21,12
16,0.326,27,0.357,31,0.21,12
16,0.325,27,0.35,31,0.21,12
16,0.31,27,0.37,31,0.2,12
16,0.31,27,0.38,31,0.203,12
16,0.31,27,0.37,31,0.2,12
16,0.31,27,0.38,31,0.203,12
16,0.31,27,0.358,31,0.208,12
3,0.11,4,0.094,5,0.0558,14
3,0.106,4,0.094,5,0.0535,14
3,0.107,4,0.088,5,0.0545,7
3,0.107,4,0.088,5,0.054,7
3,0.108,4,0.091,5,0.0545,14
3,0.107,4,0.0875,5,0.055,14
3,0.107,4,0.099,5,0.054,14
3,0.107,4,0.09,5,0.054,14
3,0.107,4,0.089,5,0.054,14
3,0.105,4,0.09,5,0.052,14
3,0.104,4,0.089,5,0.052,14
3,0.104,4,0.089,5,0.052,14
3,0.103,4,0.09,5,0.051,14
3,0.103,4,0.089,5,0.053,14
3,0.102,4,0.088,5,0.052,14
32,0.807,7,0.5,31,0.057,6
32,0.778,7,0.57,31,0.061,6
32,0.78,7,0.6,31,0.059,6
32,0.76,7,0.62,31,0.061,6
32,0.733,7,0.59,31,0.059,6
32,0.696,7,0.547,31,0.056,6
32,0.36,42,0.8,31,0.08,6
32,0.8,42,0.34,31,0.094,6
32,0.807,7,0.5,31,0.057,6
32,0.56,42,0.7,31,0.093,6
32,0.6,42,0.67,31,0.093,6
32,0.657,42,0.618,31,0.078,6
42,1.29,50,0.95,71,0,13
32,0.67,42,0.611,31,0.08,6
32,0.6,42,0.542,31,0.072,6
32,0.604,42,0.51,31,0.067,6
32,0.567,42,0.489,31,0.067,6
32,0.57,42,0.542,31,0.072,6
32,0.56,42,0.474,31,0.072,6
32,0.556,42,0.479,31,0.073,6
32,0.564,42,0.54,31,0.071,6
32,0.56,42,0.547,31,0.07,6
32,0.55,42,0.54,31,0.073,6
32,0.52,42,0.543,31,0.075,6
32,0.8,7,0.58,31,0.063,6
32,0.46,42,0.52,31,0.068,6
32,0.46,42,0.522,31,0.069,6
32,0.456,42,0.535,31,0.067,6
32,0.45,42,0.538,31,0.065,6
32,0.775,7,0.56,31,0.06,6
32,0.442,42,0.528,31,0.0685,6
32,0.445,42,0.528,31,0.069,6
32,0.442,42,0.528,31,0.0685,6
32,1.4,7,0.79,31,0.1,6
32,0.95,7,0.63,31,0.06,6
32,0.92,7,0.504,31,0.073,6
32,0.92,7,0.52,31,0.076,6
32,1.1,7,0.65,31,0.083,6
32,1.1,7,0.68,31,0.084,6
32,1.05,7,0.695,31,0.085,6
32,1,7,0.7,31,0.085,6
32,0.97,7,0.77,31,0.083,6
32,0.97,7,0.76,31,0.083,6
32,0.94,7,0.72,31,0.08,6
32,0.948,7,0.745,31,0.078,6
32,0.92,7,0.696,31,0.076,6
32,0.895,7,0.696,31,0.077,6
32,0.9,7,0.71,31,0.078,6
32,0.355,42,0.721,31,0.09,6
32,0.38,42,0.74,31,0.08,6
32,0.36,42,0.66,31,0.093,6
32,0.37,42,0.633,31,0.085,6
32,0.38,42,0.63,31,0.08,6
32,0.4,42,0.64,31,0.082,6
32,0.45,42,0.63,31,0.08,6
32,0.44,42,0.61,31,0.077,6
32,0.45,42,0.6,31,0.078,6
32,0.44,42,0.58,31,0.075,6
32,0.45,42,0.56,31,0.076,6
32,0.44,42,0.557,31,0.075,6
32,0.45,42,0.557,31,0.075,6
32,0.45,42,0.557,31,0.075,6
32,0.453,42,0.56,31,0.076,6
32,0.453,42,0.56,31,0.076,6
32,0.475,42,0.59,31,0.08,6
32,0.518,42,0.643,31,0.0875,6
32,0.5,42,0.62,31,0.0835,6
32,0.532,42,0.62,31,0.088,6
32,0.527,42,0.647,31,0.087,6
32,0.532,42,0.62,31,0.086,6
32,0.45,29,0.865,58,2.63,2
32,0.447,29,0.87,58,2.65,2
32,0.45,29,0.9,58,2.65,2
32,0.473,29,0.865,58,2.775,2
32,0.38,7,0.45,64,2.55,4
32,0.36,7,0.412,64,2.55,1
32,0.437,7,0.42,64,3.23,4
32,0.34,7,0.4,64,2.6,4
32,0.43,7,0.455,64,3.08,4
16,0.185,23,0.43,31,0.0235,6
16,0.19,23,0.45,31,0.0245,6
16,0.176,23,0.41,31,0.024,6
16,0.175,23,0.427,31,0.0252,6
7,2.64,52,0.175,71,0,13
7,2.64,52,0.175,71,0,13
32,1.18,42,0.58,52,0.475,13
32,1.18,42,0.58,52,0.475,13
32,0.8,42,0.455,52,0.38,13
32,0.8,42,0.455,52,0.38,13
32,0.8,42,0.455,45,0.38,13
32,1.2,42,0.594,52,0.47,13
32,1.144,42,0.572,52,0.47,13
32,1.15,42,0.618,52,0.485,13
32,1.28,42,0.62,52,0.51,13
32,0.7,42,0.56,52,0.37,13
8,1.3,52,0.34,64,0.8,8
8,1.5,52,0.35,64,0.8,8
8,1.5,52,0.4,64,1.23,4
8,1.2,52,0.25,64,1,8
8,1.18,52,0.29,64,0.9,8
8,1.2,52,0.29,64,0.89,8
8,1.8,52,0.435,64,1.335,4
8,1.85,52,0.45,64,1.37,4
8,1.38,52,0.34,64,0.98,8
8,1.41,52,0.34,64,1,8
52,0.34,8,1.45,64,0.98,8
8,1.41,52,0.35,64,0.95,8
52,0.35,64,1,8,1.5,8
8,1.51,52,0.355,64,0.99,8
8,1.58,52,0.4,64,1.2,4
8,1.6,52,0.41,64,1.23,4
44,2.68,48,0.31,64,1.015,8
44,2.8,48,0.33,64,1,8
44,2.75,48,0.34,64,1,8
44,2.78,48,0.33,64,1,8
44,2.8,48,0.328,64,1.01,8
44,2.83,48,0.326,64,1.02,8
44,2.26,48,0.283,64,0.82,8
44,2.78,48,0.3,64,1,8
44,2.78,48,0.323,64,1.02,8
44,2.777,48,0.32,64,1,8
44,2.2,48,0.283,64,0.8,8
44,2.72,48,0.32,64,0.98,8
44,2.17,48,0.256,64,0.784,8
44,2.72,48,0.335,64,0.96,8
44,2.2,48,0.3,64,0.955,8
44,2.73,48,0.333,64,0.963,8
44,2.65,48,0.34,64,1,8
44,2,48,0.32,64,0.88,8
44,2.56,48,0.34,64,0.975,8
44,2.6,48,0.343,64,1,8
44,2.26,48,0.283,64,0.82,8
44,2.26,48,0.283,64,0.82,8
44,2.7,48,0.343,64,1,8
44,2.71,48,0.345,64,0.98,8
44,2.68,48,0.344,64,1,8
44,2.68,48,0.34,64,1,8
44,2.7,48,0.344,64,1.05,8
44,2.7,48,0.342,64,1.08,8
44,2.73,48,0.35,64,1.05,8
44,2.75,48,0.355,64,1.03,8
44,2.8,48,0.35,64,1,8
44,2.76,48,0.36,64,1,8
44,2.72,48,0.346,64,1.06,8
44,2.71,48,0.344,64,1.04,8
44,2.7,48,0.34,64,1.1,8
44,2.68,48,0.337,64,1.08,8
44,2.71,48,0.35,64,1.1,8
44,2.7,48,0.355,64,1.08,8
44,2.275,48,0.29,64,0.7912,8
7,0.4,27,0.21,31,0.198,12
7,0.39,27,0.211,31,0.197,12
7,0.399,27,0.21,31,0.2,12
7,0.4,27,0.205,31,0.198,12
34,0.43,27,0.22,31,0.2,12
34,0.44,27,0.225,31,0.2,12
34,0.44,27,0.22,31,0.2,12
34,0.442,27,0.21,31,0.196,12
34,0.442,27,0.203,31,0.196,12
34,0.442,27,0.2,31,0.196,12
16,0.064,7,1.495,64,0.905,8
16,0.06,7,1.58,64,1.1,8
16,0.062,7,1.75,64,1.03,8
16,0.064,7,1.78,64,1.03,8
16,0.062,7,1.8,64,1.03,8
16,0.06,7,1.8,64,1.03,8
16,0.058,7,1.8,64,1.03,8
16,0.057,7,1.8,64,1.03,8
16,0.054,7,1.82,64,1.05,8
16,0.052,7,1.825,64,1.06,8
16,0.052,7,1.83,64,1.07,8
16,0.052,7,1.825,64,1.07,8
16,0.052,7,1.83,64,1.07,8
16,0.052,7,1.83,64,1.07,8
16,0.052,7,1.825,64,1.07,8
16,0.052,7,1.825,64,1.07,8
16,0.052,7,1.82,64,1.03,8
16,0.052,7,1.82,64,1.03,8
16,0.05,7,1.83,64,1.05,8
16,0.05,7,1.83,64,1.05,8
16,0.05,7,1.82,64,1.035,8
16,0.049,7,1.83,64,1.03,8
16,0.047,7,1.8,64,1.014,8
16,0.046,7,1.82,64,1.03,8
16,0.05,7,1.83,64,1.05,8
16,0.038,7,1.72,64,1,8
16,0.036,7,1.7,64,1.05,8
16,0.04,7,1.68,64,1.1,8
16,0.032,34,1.676,64,1.02,8
16,0.03,34,1.67,64,1,8
64,1,16,0.032,34,1.676,8
16,0.031,34,1.67,64,1.02,8
16,0.04,34,1.676,64,1,8
16,0.038,34,1.67,64,1,8
16,0.036,34,1.666,64,1,8
16,0.035,34,1.66,64,1,8
16,0.035,34,1.66,64,1.05,8
16,0.036,34,1.66,64,1.1,8
16,0.035,34,1.66,64,1.03,8
16,0.036,34,1.67,64,1.05,8
16,0.0355,34,1.66,64,1.06,8
16,0.036,34,1.67,64,1.039,8
16,0.03,34,1.67,64,1,8
16,0.065,7,1.45,64,0.9,8
16,0.066,7,1.43,64,0.88,8
16,0.065,7,1.49,64,0.9,8
7,1.47,16,0.066,64,0.88,8
16,0.054,7,1.27,64,0.77,8
16,0.058,7,1.53,64,0.886,8
16,0.06,7,1.56,64,0.89,8
16,0.057,7,1.568,64,0.868,8
16,0.0575,7,1.565,64,0.846,8
16,0.052,7,1.58,64,0.92,8
16,0.052,7,1.57,64,0.885,8
16,0.05,7,1.57,64,0.885,8
16,0.046,7,1.55,64,0.893,8
16,0.0425,7,1.442,64,0.831,8
16,0.045,7,1.5,64,0.86,8
16,0.044,7,1.47,64,0.845,8
16,0.035,7,1.54,64,0.88,8
16,0.036,7,1.55,64,0.87,8
16,0.0378,7,1.66,64,0.95,8
16,0.035,7,1.535,64,0.87,8
16,0.036,7,1.58,64,0.95,8
16,0.036,7,1.58,64,0.95,8
16,0.035,7,1.53,64,0.957,8
16,0.035,7,1.53,64,0.957,8
16,0.036,7,1.58,64,0.93,8
16,0.036,7,1.58,64,0.93,8
16,0.036,7,1.575,64,0.928,8
16,0.032,7,1.6,64,0.94,8
16,0.032,7,1.565,64,0.93,8
16,0.0307,7,1.544,64,0.901,8
16,0.03,7,1.54,64,0.9,8
16,0.028,34,1.54,64,0.92,8
16,0.028,34,1.54,64,0.93,8
16,0.029,34,1.54,64,0.92,8
16,0.03,34,1.535,64,0.91,8
16,0.028,34,1.53,64,0.93,8
16,0.0275,34,1.54,64,0.92,8
16,0.0284,34,1.522,64,0.928,8
16,0.0285,34,1.525,64,0.9282,8
16,0.0284,34,1.522,64,0.928,8
16,0.064,7,1.495,64,0.905,8
16,0.064,7,1.53,64,0.93,8
16,0.063,7,1.5,64,0.9,8
16,0.062,7,1.48,64,0.915,8
16,0.063,7,1.51,64,0.933,8
16,0.064,7,1.533,64,0.943,8
16,0.06,7,1.56,64,0.943,8
16,0.0645,7,1.56,64,0.94,8
16,0.064,7,1.56,64,0.95,8
16,0.064,7,1.563,64,0.96,8
16,0.064,7,1.56,64,0.95,8
16,0.064,7,1.563,64,0.96,8
16,0.065,7,1.56,64,0.96,8
16,0.0646,7,1.563,64,0.969,8
16,0.065,7,1.51,64,0.96,8
16,0.0646,7,1.5,64,0.969,8
16,0.065,7,1.5,64,0.87,8
16,0.062,7,1.5,64,0.93,8
16,0.062,7,1.54,64,0.91,8
16,0.061,7,1.55,64,1,8
16,0.0615,7,1.53,64,1.07,8
16,0.0625,7,1.65,64,0.92,8
16,0.055,7,1.65,64,1.08,8
16,0.057,7,1.65,64,1.05,8
16,0.0594,7,1.584,64,0.946,8
16,0.0596,7,1.592,64,0.951,8
16,0.059,7,1.593,64,0.951,8
16,0.059,7,1.588,64,0.948,8
16,0.053,7,1.516,64,0.89,8
16,0.054,7,1.55,64,0.91,8
16,0.0535,7,1.55,64,0.928,8
16,0.0524,7,1.516,64,0.91,8
16,0.052,7,1.55,64,0.947,8
16,0.052,7,1.55,64,0.947,8
16,0.051,7,1.52,64,0.95,8
16,0.051,7,1.52,64,0.95,8
16,0.052,7,1.555,64,0.95,8
16,0.0515,7,1.63,64,0.941,8
16,0.05,7,1.58,64,0.947,8
16,0.049,7,1.63,64,0.941,8
16,0.048,7,1.64,64,0.942,8
16,0.049,7,1.64,64,0.942,8
