d1,c1,d2,c2,d3,c3,class
17,0.0415,21,0.0186,31,0.038,14
17,0.0415,21,0.0185,31,0.0375,14
17,0.0415,21,0.0185,31,0.0375,14
16,0.067,48,0.3,35,0.877,1
16,0.067,48,0.3,35,0.877,1
16,0.0675,48,0.327,35,0.881,1
16,0.0675,48,0.327,35,0.881,1
16,0.067,48,0.29,35,0.88,1
16,0.067,48,0.29,35,0.88,1
17,0.065,21,0.028,31,0.067,14
17,0.065,21,0.028,31,0.067,14
17,0.063,21,0.026,31,0.065,14
17,0.063,21,0.026,31,0.065,14
19,0.334,21,0.01,31,0.29,12
19,0.334,21,0.01,31,0.29,12
19,0.334,21,0.01,31,0.29,12
19,0.334,21,0.01,31,0.29,12
19,0.334,21,0.01,31,0.2935,12
19,0.334,21,0.01,31,0.2935,12
14,0.0215,29,1,61,3,16
14,0.0215,29,1,61,3,16
14,0.022,29,1,61,3,16
14,0.022,29,1,61,3,16
14,0.02,29,1,61,2.98,16
14,0.02,29,1,61,2.98,16
16,0.038,29,0.76,61,3,16
16,0.038,29,0.76,61,3,16
16,0.038,29,0.77,61,3,16
16,0.038,29,0.77,61,3,16
16,0.038,29,0.775,61,3,16
16,0.038,29,0.775,61,3,16
16,0.019,29,0.54,66,0.9,16
16,0.02,29,0.56,66,0.9,16
16,0.02,29,0.57,66,0.88,16
32,0.62,27,0.43,35,0.566,15
32,0.62,27,0.43,35,0.566,15
32,0.621,27,0.45,35,0.581,15
32,0.621,27,0.45,35,0.581,15
32,0.62,27,0.44,35,0.57,15
32,0.62,27,0.44,35,0.57,15
16,0.07,29,0.9,60,3,16
16,0.07,29,0.9,60,3,16
16,0.069,29,0.9,60,3,16
16,0.069,29,0.9,60,3,16
16,0.06,29,1.05,60,3,16
16,0.06,29,1.05,60,3,16
16,0.061,29,1.1,60,3.05,16
16,0.061,29,1.1,60,3.05,16
16,0.061,29,1.09,60,3.05,16
16,0.061,29,1.09,60,3.05,16
55,0.21,66,0.88,71,0,11
55,0.22,66,0.878,71,0,11
55,0.235,66,0.87,71,0,11
16,0.064,21,0.03,31,0.36,11
16,0.063,21,0.031,31,0.36,11
46,0.67,47,1.2,52,0.68,13
46,0.678,47,1.19,52,0.655,13
46,0.65,47,1.18,52,0.65,13
46,0.919,47,1.08,52,0.583,13
16,0.084,27,0.243,35,0.9,15
16,0.083,27,0.244,35,0.904,15
16,0.085,27,0.247,35,0.92,15
16,0.086,27,0.25,37,0.94,15
3,0.027,4,0.0097,5,0.126,14
3,0.0278,4,0.01,5,0.13,14
3,0.028,4,0.01,5,0.131,14
27,0.279,44,0.545,64,1.39,4
27,0.279,44,0.545,64,1.39,4
27,0.27,44,0.53,64,1.36,4
27,0.27,44,0.53,64,1.36,4
3,0.0195,4,0.0098,5,0.093,14
3,0.0195,4,0.0098,5,0.093,14
3,0.0184,4,0.0106,5,0.082,14
3,0.0184,4,0.0106,5,0.082,14
16,0.112,50,0.96,52,0.32,13
16,0.113,50,0.95,52,0.35,13
16,0.11,50,0.93,52,0.32,13
16,0.0965,21,0.0442,31,0.488,11
16,0.0965,21,0.0442,31,0.488,11
16,0.0965,21,0.044,31,0.49,11
16,0.0965,21,0.044,31,0.49,11
3,0.0296,4,0.0176,5,0.0995,14
3,0.0296,4,0.0176,5,0.0995,14
3,0.0292,4,0.0173,5,0.099,14
3,0.0292,4,0.0173,5,0.099,14
19,0.24,35,0.72,52,0.51,15
19,0.24,35,0.72,52,0.51,15
19,0.243,35,0.72,52,0.5,15
19,0.243,35,0.72,52,0.5,15
21,0.153,55,0.21,31,0.082,14
21,0.153,55,0.21,31,0.082,14
21,0.157,55,0.206,31,0.08,14
21,0.157,55,0.206,31,0.08,14
21,0.16,55,0.21,31,0.082,14
21,0.16,55,0.21,31,0.082,14
25,0.32,47,0.775,55,0.265,13
25,0.32,47,0.775,55,0.265,13
25,0.31,47,0.782,55,0.265,13
25,0.31,47,0.782,55,0.265,13
25,0.3,47,0.784,55,0.268,13
25,0.3,47,0.784,55,0.268,13
31,0.025,48,0.45,71,0,6
31,0.025,48,0.45,71,0,6
42,0.62,50,2.8,52,0.113,13
42,0.62,50,2.8,52,0.113,13
42,0.605,50,2.82,52,0.112,13
42,0.605,50,2.82,52,0.112,13
16,0.112,50,1,52,0.33,13
16,0.112,50,1,52,0.33,13
16,0.113,50,1.05,52,0.34,13
16,0.113,50,1.05,52,0.34,13
16,0.11,50,1.03,52,0.32,13
16,0.11,50,1.03,52,0.32,13
42,1.65,50,1.92,52,0.08,13
42,1.65,50,1.92,52,0.08,13
16,0.062,50,0.58,52,0.075,13
16,0.062,50,0.58,52,0.075,13
16,0.0635,50,0.595,52,0.074,13
16,0.0635,50,0.595,52,0.074,13
3,0.017,4,0.008,5,0.065,14
3,0.017,4,0.008,5,0.065,14
3,0.018,4,0.009,5,0.07,14
3,0.018,4,0.009,5,0.07,14
16,0.0955,50,0.912,52,0.214,13
16,0.0955,50,0.912,52,0.214,13
16,0.096,50,0.916,57,0.213,13
16,0.096,50,0.916,57,0.213,13
19,0.12,32,1.05,31,0.0024,7
19,0.12,32,1.05,31,0.0024,7
44,0.636,27,0.308,64,1.47,4
44,0.636,27,0.308,64,1.47,4
44,0.663,27,0.3,64,1.59,4
44,0.663,27,0.3,64,1.59,4
44,0.636,27,0.303,64,1.47,4
44,0.636,27,0.303,64,1.47,4
66,1.18,55,0.036,71,0,11
66,1.18,55,0.036,71,0,11
66,1.18,55,0.033,71,0,11
66,1.18,55,0.033,71,0,11
66,1.18,55,0.035,71,0,11
66,1.18,55,0.035,71,0,11
19,0.045,27,0.214,59,0.485,11
19,0.045,27,0.214,59,0.485,11
19,0.044,27,0.203,59,0.48,11
19,0.044,27,0.203,59,0.48,11
16,0.096,21,0.045,31,0.48,11
16,0.096,21,0.045,31,0.48,11
16,0.095,21,0.044,31,0.47,11
16,0.095,21,0.044,31,0.47,11
16,0.096,21,0.046,31,0.47,11
16,0.096,21,0.046,31,0.47,11
16,0.0223,29,3,66,0.46,16
16,0.0223,29,3,66,0.46,16
16,0.022,29,3,66,0.45,16
16,0.022,29,3,66,0.45,16
16,0.02,29,3,66,0.44,16
16,0.02,29,3,66,0.44,16
3,0.0235,4,0.013,5,0.105,14
3,0.0235,4,0.013,5,0.105,14
3,0.0233,4,0.013,5,0.104,14
3,0.0233,4,0.013,5,0.104,14
3,0.024,4,0.016,5,0.1,14
3,0.024,4,0.016,5,0.1,14
19,0.238,52,0.496,35,0.741,15
19,0.238,52,0.496,35,0.741,15
19,0.24,52,0.505,35,0.745,15
19,0.24,52,0.505,35,0.745,15
19,0.042,27,0.2,59,0.48,11
19,0.042,27,0.2,59,0.48,11
19,0.04,27,0.195,59,0.47,11
19,0.04,27,0.195,59,0.47,11
47,2.55,48,1.31,55,0.38,6
47,2.55,48,1.31,55,0.38,6
47,2.55,48,1.365,55,0.4,6
47,2.55,48,1.365,55,0.4,6
47,2.55,48,1.36,55,0.39,6
47,2.55,48,1.36,55,0.39,6
25,0.5,55,0.251,47,0.5,13
25,0.5,55,0.251,47,0.5,13
25,0.48,55,0.253,47,0.515,13
25,0.48,55,0.253,47,0.515,13
25,0.5,55,0.256,47,0.5,13
25,0.5,55,0.256,47,0.5,13
31,0.025,48,0.45,71,0,6
31,0.025,48,0.45,71,0,6
4,0.027,5,0.0012,71,0,5
4,0.027,5,0.0012,71,0,5
4,0.027,5,0.0014,71,0,5
4,0.027,5,0.0014,71,0,5
4,0.027,5,0.0014,71,0,5
4,0.027,5,0.0014,71,0,5
17,0.0275,21,0.118,31,0.0265,14
17,0.0275,21,0.118,31,0.0265,14
16,0.103,50,1.095,52,0.305,13
16,0.103,50,1.095,52,0.305,13
16,0.103,50,1.098,52,0.3,13
16,0.103,50,1.098,52,0.3,13
16,0.098,50,1.095,52,0.29,13
16,0.098,50,1.095,52,0.29,13
16,0.0535,50,0.45,52,0.064,13
16,0.0535,50,0.45,52,0.064,13
16,0.054,50,0.453,52,0.0655,13
16,0.054,50,0.453,52,0.0655,13
16,0.0536,50,0.45,52,0.065,13
16,0.0536,50,0.45,52,0.065,13
32,0.05,52,0.21,71,0,13
32,0.05,52,0.21,71,0,13
55,0.15,66,0.44,71,0,11
55,0.15,66,0.44,71,0,11
55,0.152,66,0.45,71,0,11
55,0.152,66,0.45,71,0,11
55,0.152,66,0.48,71,0,11
55,0.152,66,0.48,71,0,11
55,0.14,66,0.49,71,0,11
55,0.14,66,0.49,71,0,11
55,0.14,66,0.48,71,0,11
55,0.14,66,0.48,71,0,11
55,0.14,66,0.48,71,0,11
55,0.14,66,0.48,71,0,11
16,0.209,48,2.045,64,1.21,4
16,0.209,48,2.045,64,1.21,4
16,0.217,48,2,64,1.36,4
16,0.217,48,2,64,1.36,4
16,0.216,48,2,64,1.36,4
16,0.216,48,2,64,1.36,4
16,0.191,48,1.64,64,1.2,4
16,0.191,48,1.64,64,1.2,4
25,0.95,55,0.25,47,0.23,13
25,0.95,55,0.25,47,0.23,13
25,1.13,55,0.25,47,0.215,13
25,1.13,55,0.25,47,0.215,13
25,0.7,55,0.15,47,0.123,13
25,0.7,55,0.15,47,0.123,13
31,0.025,48,0.45,71,0,6
31,0.025,48,0.45,71,0,6
32,0.07,42,1.12,50,1.93,13
32,0.07,42,1.12,50,1.93,13
32,0.06,42,1.15,50,1.9,13
32,0.06,42,1.15,50,1.9,13
32,0.068,42,1.15,50,1.95,13
32,0.068,42,1.15,50,1.95,13
16,0.044,50,0.415,52,0.048,13
16,0.044,50,0.415,52,0.048,13
16,0.042,50,0.4,52,0.05,13
16,0.042,50,0.4,52,0.05,13
16,0.048,50,0.42,52,0.06,13
16,0.048,50,0.42,52,0.06,13
32,0.046,52,0.23,71,0,13
32,0.046,52,0.23,71,0,13
16,0.25,58,1.8,64,1.46,4
16,0.248,58,1.85,64,1.43,4
16,0.25,58,1.9,64,1.4,4
16,0.19,48,2.285,41,1.313,4
16,0.19,48,2.285,41,1.313,4
16,0.18,48,2.4,41,1.4,4
16,0.18,48,2.4,41,1.4,4
16,0.191,48,2.2,41,1.36,4
16,0.191,48,2.2,41,1.36,4
16,0.495,27,0.613,35,0.68,15
16,0.48,27,0.596,35,0.642,15
16,0.47,27,0.57,35,0.665,15
39,0.6,71,0,71,0,5
39,0.6,71,0,71,0,5
39,0.57,71,0,71,0,5
39,0.57,71,0,71,0,5
44,0.62,27,0.283,64,1.31,4
44,0.62,27,0.283,64,1.31,4
3,0.0945,4,0.0895,5,0.139,14
3,0.0945,4,0.0895,5,0.139,14
17,0.36,21,0.114,31,0.45,12
17,0.36,21,0.114,31,0.45,12
17,0.367,21,0.115,31,0.45,12
17,0.367,21,0.115,31,0.45,12
17,0.37,21,0.116,31,0.45,12
17,0.37,21,0.116,31,0.45,12
44,0.98,48,0.465,64,2.54,4
44,0.99,48,0.45,64,2.55,4
44,1,48,0.45,64,2.6,4
17,0.0457,21,0.02,31,0.04,14
17,0.046,21,0.02,31,0.041,14
17,0.022,21,0.11,31,0.264,11
17,0.021,21,0.106,31,0.26,11
16,0.0126,29,0.19,31,0.03,3
16,0.0126,29,0.19,31,0.03,3
19,0.215,27,0.19,35,0.66,15
19,0.215,27,0.19,35,0.66,15
19,0.218,27,0.2,35,0.672,15
19,0.218,27,0.2,35,0.672,15
29,0.18,66,0.12,71,0,3
29,0.18,66,0.12,71,0,3
29,0.16,66,0.13,71,0,3
29,0.16,66,0.13,71,0,3
29,0.17,66,0.125,71,0,3
29,0.17,66,0.125,71,0,3
29,0.186,66,0.12,71,0,3
29,0.186,66,0.12,71,0,3
29,0.18,66,0.12,71,0,3
29,0.18,66,0.12,71,0,3
29,0.188,66,0.12,71,0,3
29,0.188,66,0.12,71,0,3
19,0.208,27,0.142,31,0.2095,12
19,0.208,27,0.142,31,0.2095,12
19,0.205,27,0.144,31,0.208,12
19,0.205,27,0.144,31,0.208,12
17,0.335,21,0.195,62,2.08,4
55,0.165,66,0.76,71,0,11
55,0.166,66,0.78,71,0,11
55,0.163,66,0.75,71,0,11
16,0.18,58,1.385,64,1.03,4
16,0.18,58,1.385,64,1.03,4
7,0.61,64,1.7,27,0.012,4
7,0.61,64,1.7,27,0.012,4
14,0.024,29,0.45,32,0.0268,3
14,0.024,29,0.45,32,0.0268,3
14,0.024,29,0.447,32,0.0266,3
14,0.024,29,0.447,32,0.0266,3
19,0.37,31,0.1,48,0.65,10
19,0.37,31,0.1,48,0.65,10
19,0.38,31,0.112,48,0.65,10
19,0.38,31,0.112,48,0.65,10
16,0.0031,29,0.025,71,0,5
16,0.0031,29,0.025,71,0,5
31,0.0188,33,0.009,71,0,5
31,0.0188,33,0.009,71,0,5
31,0.019,33,0.0095,71,0,5
